rt,stimulus,response,trial_type,trial_index,plugin_version,time_elapsed,subject_id,study_id,session_id,question_type,source_file,response_1,response_2,response_3,response_4,response_5,response_6,response_7,response_8,response_9,response_10,response_11,response_12
43669,,"{""Sound"":""Sometimes monotonous, quiet, loud, speaks fast, speaks slow""}",survey-text,4,2.1.0,202917,67722f8e3a4f08a288a1f640,691666c81a5eeee631c26019,69166e023d167430834ba189,sound,7prd3vul67.csv,Sometimes monotonous,quiet,loud,speaks fast,speaks slow,,,,,,,
6185,,"{""Know"":""Yes""}",survey-text,5,2.1.0,209141,67722f8e3a4f08a288a1f640,691666c81a5eeee631c26019,69166e023d167430834ba189,know,7prd3vul67.csv,Yes,,,,,,,,,,,
56158,,"{""Person"":""poor social skills, behavioral issues, hidden talents, fixations""}",survey-text,2,2.1.0,69251,615351cf254ed1f941d06e61,691666c81a5eeee631c26019,69166d8cf4c2d4e3f0c4a788,person,7vpquabkkc.csv,poor social skills,behavioral issues,hidden talents,fixations,,,,,,,,
58723,,"{""Behavior"":""erratic, loud, stressed, triggered, uncomfortable""}",survey-text,3,2.1.0,127981,615351cf254ed1f941d06e61,691666c81a5eeee631c26019,69166d8cf4c2d4e3f0c4a788,behavior,7vpquabkkc.csv,erratic,loud,stressed,triggered,uncomfortable,,,,,,,
43852,,"{""Sound"":""nonverbal, no different than any other person""}",survey-text,4,2.1.0,171839,615351cf254ed1f941d06e61,691666c81a5eeee631c26019,69166d8cf4c2d4e3f0c4a788,sound,7vpquabkkc.csv,nonverbal,no different than any other person,,,,,,,,,,
6914,,"{""Know"":""yes""}",survey-text,5,2.1.0,178784,615351cf254ed1f941d06e61,691666c81a5eeee631c26019,69166d8cf4c2d4e3f0c4a788,know,7vpquabkkc.csv,yes,,,,,,,,,,,
20251,,"{""Person"":""unique, creative, honest, loving, kind, funny, happy""}",survey-text,2,2.1.0,44831,60e8a63f733f423be3da1846,691666c81a5eeee631c26019,69166f87ae8084560b25c6e3,person,86bmq14poq.csv,unique,creative,honest,loving,kind,funny,happy,,,,,
91740,,"{""Behavior"":""compulsive, factly, literal, honestly, happily""}",survey-text,3,2.1.0,136589,60e8a63f733f423be3da1846,691666c81a5eeee631c26019,69166f87ae8084560b25c6e3,behavior,86bmq14poq.csv,compulsive,factly,literal,honestly,happily,,,,,,,
33085,,"{""Sound"":""normal, loud, quiet, shy, nice""}",survey-text,4,2.1.0,169701,60e8a63f733f423be3da1846,691666c81a5eeee631c26019,69166f87ae8084560b25c6e3,sound,86bmq14poq.csv,normal,loud,quiet,shy,nice,,,,,,,
6970,,"{""Know"":""yes my nephew""}",survey-text,5,2.1.0,176709,60e8a63f733f423be3da1846,691666c81a5eeee631c26019,69166f87ae8084560b25c6e3,know,86bmq14poq.csv,yes my nephew,,,,,,,,,,,
31201,,"{""Person"":""anxious, social problems, smart, quiet, nervous""}",survey-text,2,2.1.0,59817,6626b05a15db572c21948eb7,691666c81a5eeee631c26019,69166f750f7d44c1a5b2c71c,person,86zgk22h35.csv,anxious,social problems,smart,quiet,nervous,,,,,,,
57929,,"{""Behavior"":""quiet, non-conforming, nervous, jerky movement, staring""}",survey-text,3,2.1.0,117755,6626b05a15db572c21948eb7,691666c81a5eeee631c26019,69166f750f7d44c1a5b2c71c,behavior,86zgk22h35.csv,quiet,non-conforming,nervous,jerky movement,staring,,,,,,,
85458,,"{""Sound"":""normal, hesitant, quiet, reserved, friendly ""}",survey-text,4,2.1.0,203222,6626b05a15db572c21948eb7,691666c81a5eeee631c26019,69166f750f7d44c1a5b2c71c,sound,86zgk22h35.csv,normal,hesitant,quiet,reserved,friendly,,,,,,,
6104,,"{""Know"":""No""}",survey-text,5,2.1.0,209338,6626b05a15db572c21948eb7,691666c81a5eeee631c26019,69166f750f7d44c1a5b2c71c,know,86zgk22h35.csv,No,,,,,,,,,,,
32180,,"{""Person"":""Smart, Intelligent, Awkward, Anti-social, Special""}",survey-text,2,2.1.0,66020,5d17ad8f9bd0710001aaa93a,691666c81a5eeee631c26019,69166d0561e6c26ce38fc874,person,9e51axvjx1.csv,Smart,Intelligent,Awkward,Anti-social,Special,,,,,,,
19805,,"{""Behavior"":""Awkward, Odd, Strange, Unconventional, Unaware, ""}",survey-text,3,2.1.0,85827,5d17ad8f9bd0710001aaa93a,691666c81a5eeee631c26019,69166d0561e6c26ce38fc874,behavior,9e51axvjx1.csv,Awkward,Odd,Strange,Unconventional,Unaware,,,,,,,
72126,,"{""Sound"":""Intelligent, Normal, Complex, Nervous, Clear""}",survey-text,4,2.1.0,157955,5d17ad8f9bd0710001aaa93a,691666c81a5eeee631c26019,69166d0561e6c26ce38fc874,sound,9e51axvjx1.csv,Intelligent,Normal,Complex,Nervous,Clear,,,,,,,
5618,,"{""Know"":""yes""}",survey-text,5,2.1.0,163580,5d17ad8f9bd0710001aaa93a,691666c81a5eeee631c26019,69166d0561e6c26ce38fc874,know,9e51axvjx1.csv,yes,,,,,,,,,,,
44044,,"{""Person"":""delayed, different, anti-social, weird, smart""}",survey-text,2,2.1.0,49760,663f8b8c5491cf738a5d35db,691666c81a5eeee631c26019,69166fb3f737352a8c8813d6,person,9fyw3wyxpn.csv,delayed,different,anti-social,weird,smart,,,,,,,
19682,,"{""Behavior"":""different, atypical, weird, strange, unconventional""}",survey-text,3,2.1.0,69444,663f8b8c5491cf738a5d35db,691666c81a5eeee631c26019,69166fb3f737352a8c8813d6,behavior,9fyw3wyxpn.csv,different,atypical,weird,strange,unconventional,,,,,,,
32499,,"{""Sound"":""normal, slow-speaking, regular, human, like me""}",survey-text,4,2.1.0,101945,663f8b8c5491cf738a5d35db,691666c81a5eeee631c26019,69166fb3f737352a8c8813d6,sound,9fyw3wyxpn.csv,normal,slow-speaking,regular,human,like me,,,,,,,
6693,,"{""Know"":""No""}",survey-text,5,2.1.0,108645,663f8b8c5491cf738a5d35db,691666c81a5eeee631c26019,69166fb3f737352a8c8813d6,know,9fyw3wyxpn.csv,No,,,,,,,,,,,
61936,,"{""Person"":""Autism presents in several ways but is best known for detachment from others.""}",survey-text,2,2.1.0,128668,6653691608992eba0cff2cbf,691666c81a5eeee631c26019,69166d716aa32a64804800a2,person,9u5hhqc5t4.csv,Autism presents in several ways but is best known for detachment from others.,,,,,,,,,,,
68840,,"{""Behavior"":""detached, repetitive motions, rocking, decreased verbal expression""}",survey-text,3,2.1.0,197508,6653691608992eba0cff2cbf,691666c81a5eeee631c26019,69166d716aa32a64804800a2,behavior,9u5hhqc5t4.csv,detached,repetitive motions,rocking,decreased verbal expression,,,,,,,,
59640,,"{""Sound"":""can be quiet or loud, autism comes in a spectrum and presents in many ways""}",survey-text,4,2.1.0,257149,6653691608992eba0cff2cbf,691666c81a5eeee631c26019,69166d716aa32a64804800a2,sound,9u5hhqc5t4.csv,can be quiet or loud,autism comes in a spectrum and presents in many ways,,,,,,,,,,
11065,,"{""Know"":""yes""}",survey-text,5,2.1.0,268216,6653691608992eba0cff2cbf,691666c81a5eeee631c26019,69166d716aa32a64804800a2,know,9u5hhqc5t4.csv,yes,,,,,,,,,,,
124328,,"{""Person"":""neurodivergent, spicy, intelligent, creative, dino nuggies""}",survey-text,2,2.1.0,157921,5d23cee7771223001647e8c7,691666c81a5eeee631c26019,691670ede77fdb5e576d6aaa,person,a080whw93e.csv,neurodivergent,spicy,intelligent,creative,dino nuggies,,,,,,,
