rt,stimulus,response,response_1,response_2,response_3,response_4,response_5,response_6,response_7,question_type,trial_type,trial_index,plugin_version,time_elapsed,subject_id,study_id,session_id,source_file
5469,"<p>Autism has received increased public attention in recent years, leading to a wide range of discussions about what it means to be autistic. To better understand how people in the United States think and talk about autism, we will ask you four short questions about your general impressions of the condition. Following this, you have the opportunity to complete an optional demographic survey. Your responses will help us learn more about how autism is perceived and discussed in everyday life.<br><br>If you understand the instructions and are ready to begin, click ‘Continue’.</p>",0,,,,,,,,,html-button-response,0,2.1.0,5481,59e7477e3e4b5a00016aa4d2,68fd87b8db18e5c17aba21ef,68fe976b8a91cc7c0583b96b,otp2zex3q9.csv
33338,,"{""Person"":""shy, insightful, kind, timid, vocal""}",shy,insightful,kind,timid,vocal,,,person,survey-text,1,2.1.0,38826,59e7477e3e4b5a00016aa4d2,68fd87b8db18e5c17aba21ef,68fe976b8a91cc7c0583b96b,otp2zex3q9.csv
43929,,"{""Behavior"":""routine, focused, repetitive, literal, direct""}",routine,focused,repetitive,literal,direct,,,behavior,survey-text,2,2.1.0,82758,59e7477e3e4b5a00016aa4d2,68fd87b8db18e5c17aba21ef,68fe976b8a91cc7c0583b96b,otp2zex3q9.csv
42960,,"{""Sound"":""monotone, robotic, staccato, loud, soft""}",monotone,robotic,staccato,loud,soft,,,sound,survey-text,3,2.1.0,125720,59e7477e3e4b5a00016aa4d2,68fd87b8db18e5c17aba21ef,68fe976b8a91cc7c0583b96b,otp2zex3q9.csv
7614,,"{""Know"":""no""}",no,,,,,,,know,survey-text,4,2.1.0,133336,59e7477e3e4b5a00016aa4d2,68fd87b8db18e5c17aba21ef,68fe976b8a91cc7c0583b96b,otp2zex3q9.csv
10143,"<p>Thank you for providing your impressions of autism. You will now be directed to an optional demographic survey. Please answer the survey questions if you feel comfortable doing so. After seeing the survey, you will be able to end the study.</p>",0,,,,,,,,,html-button-response,5,2.1.0,143479,59e7477e3e4b5a00016aa4d2,68fd87b8db18e5c17aba21ef,68fe976b8a91cc7c0583b96b,otp2zex3q9.csv
23525,,"{""understood"":true,""age"":60,""gender"":""Prefer not to answer"",""ethnicity"":""white"",""enjoy"":""Better than average study"",""payment"":""The payment was fair"",""comments"":""😁"",""question1"":null}",,,,,,,,,survey,6,3.0.0,167117,59e7477e3e4b5a00016aa4d2,68fd87b8db18e5c17aba21ef,68fe976b8a91cc7c0583b96b,otp2zex3q9.csv
34771,"<p>Autism has received increased public attention in recent years, leading to a wide range of discussions about what it means to be autistic. To better understand how people in the United States think and talk about autism, we will ask you four short questions about your general impressions of the condition. Following this, you have the opportunity to complete an optional demographic survey. Your responses will help us learn more about how autism is perceived and discussed in everyday life.<br><br>If you understand the instructions and are ready to begin, click ‘Continue’.</p>",0,,,,,,,,,html-button-response,0,2.1.0,34777,63d40f21ea1c311723c7c847,68fd87b8db18e5c17aba21ef,68fe992da598fa26718a6870,px49jy0wrk.csv
44348,,"{""Person"":""stunted, disability, behavioral, marginalized, sympathetic""}",stunted,disability,behavioral,marginalized,sympathetic,,,person,survey-text,1,2.1.0,79136,63d40f21ea1c311723c7c847,68fd87b8db18e5c17aba21ef,68fe992da598fa26718a6870,px49jy0wrk.csv
22934,,"{""Behavior"":""erratic, confused, inquisitive, unaware, aloof""}",erratic,confused,inquisitive,unaware,aloof,,,behavior,survey-text,2,2.1.0,102071,63d40f21ea1c311723c7c847,68fd87b8db18e5c17aba21ef,68fe992da598fa26718a6870,px49jy0wrk.csv
44822,,"{""Sound"":""monotone, flat, unemotional, quiet, unintelligible""}",monotone,flat,unemotional,quiet,unintelligible,,,sound,survey-text,3,2.1.0,146902,63d40f21ea1c311723c7c847,68fd87b8db18e5c17aba21ef,68fe992da598fa26718a6870,px49jy0wrk.csv
9638,,"{""Know"":""My brother and my partner's cousin""}",yes,,,,,,,know,survey-text,4,2.1.0,156541,63d40f21ea1c311723c7c847,68fd87b8db18e5c17aba21ef,68fe992da598fa26718a6870,px49jy0wrk.csv
3296,"<p>Thank you for providing your impressions of autism. You will now be directed to an optional demographic survey. Please answer the survey questions if you feel comfortable doing so. After seeing the survey, you will be able to end the study.</p>",0,,,,,,,,,html-button-response,5,2.1.0,159838,63d40f21ea1c311723c7c847,68fd87b8db18e5c17aba21ef,68fe992da598fa26718a6870,px49jy0wrk.csv
24996,,"{""understood"":true,""age"":34,""gender"":""Male"",""ethnicity"":""Caucasian"",""enjoy"":""Better than average study"",""payment"":""The payment was fair"",""comments"":""Have a nice day!"",""question1"":null}",,,,,,,,,survey,6,3.0.0,184908,63d40f21ea1c311723c7c847,68fd87b8db18e5c17aba21ef,68fe992da598fa26718a6870,px49jy0wrk.csv
18245,"<p>Autism has received increased public attention in recent years, leading to a wide range of discussions about what it means to be autistic. To better understand how people in the United States think and talk about autism, we will ask you four short questions about your general impressions of the condition. Following this, you have the opportunity to complete an optional demographic survey. Your responses will help us learn more about how autism is perceived and discussed in everyday life.<br><br>If you understand the instructions and are ready to begin, click ‘Continue’.</p>",0,,,,,,,,,html-button-response,0,2.1.0,18277,5f6388bf9ae5ad07ba1a0173,68fd87b8db18e5c17aba21ef,68fe932cd2bccc75ea001023,yf34f28hk1.csv
35065,,"{""Person"":""gifted, talented, special, unique, human""}",gifted,talented,special,unique,human,,,person,survey-text,1,2.1.0,53387,5f6388bf9ae5ad07ba1a0173,68fd87b8db18e5c17aba21ef,68fe932cd2bccc75ea001023,yf34f28hk1.csv
66979,,"{""Behavior"":""cautious, differently, similarly, interestingly, sporadic""}",cautious,differently,similarly,interestingly,sproadic,,,behavior,survey-text,2,2.1.0,120369,5f6388bf9ae5ad07ba1a0173,68fd87b8db18e5c17aba21ef,68fe932cd2bccc75ea001023,yf34f28hk1.csv
34138,,"{""Sound"":""normal, intelligent, halting, forceful, quiet""}",normal,intelligent,halting,forceful,quiet,,,sound,survey-text,3,2.1.0,154512,5f6388bf9ae5ad07ba1a0173,68fd87b8db18e5c17aba21ef,68fe932cd2bccc75ea001023,yf34f28hk1.csv
5002,,"{""Know"":""yes""}",yes,,,,,,,know,survey-text,4,2.1.0,159519,5f6388bf9ae5ad07ba1a0173,68fd87b8db18e5c17aba21ef,68fe932cd2bccc75ea001023,yf34f28hk1.csv
3528,"<p>Thank you for providing your impressions of autism. You will now be directed to an optional demographic survey. Please answer the survey questions if you feel comfortable doing so. After seeing the survey, you will be able to end the study.</p>",0,,,,,,,,,html-button-response,5,2.1.0,163050,5f6388bf9ae5ad07ba1a0173,68fd87b8db18e5c17aba21ef,68fe932cd2bccc75ea001023,yf34f28hk1.csv
23183,,"{""understood"":true,""age"":49,""gender"":""Female"",""ethnicity"":""white"",""enjoy"":""Average study"",""payment"":""The payment was fair"",""comments"":""no"",""question1"":null}",,,,,,,,,survey,6,3.0.0,186352,5f6388bf9ae5ad07ba1a0173,68fd87b8db18e5c17aba21ef,68fe932cd2bccc75ea001023,yf34f28hk1.csv
